#   Delta m^2 [eV^2]      sin^2 theta_23   delta_CP [0, 2pi)      sin^2 theta_13               chi^2
              0.0013              0.7500              0.0000              0.0100            187.9326
              0.0013              0.7750              0.0000              0.0100            235.9831
              0.0013              0.3000              0.0000              0.0150            113.9314
              0.0013              0.3250              0.0000              0.0150             93.1252
              0.0013              0.3500              0.0000              0.0150             79.5251
              0.0013              0.3750              0.0000              0.0150             71.6441
              0.0013              0.4000              0.0000              0.0150             68.0064
              0.0013              0.4250              0.0000              0.0150             67.2223
              0.0013              0.4500              0.0000              0.0150             68.0735
              0.0013              0.4750              0.0000              0.0150             69.5934
              0.0013              0.5000              0.0000              0.0150             71.1317
              0.0013              0.5250              0.0000              0.0150             72.3991
              0.0013              0.5500              0.0000              0.0150             73.4869
              0.0013              0.5750              0.0000              0.0150             74.8584
              0.0013              0.6000              0.0000              0.0150             77.3140
              0.0013              0.6250              0.0000              0.0150             81.9336
              0.0013              0.6500              0.0000              0.0150             90.0021
              0.0013              0.6750              0.0000              0.0150            102.9271
              0.0013              0.7000              0.0000              0.0150            122.1536
              0.0013              0.7250              0.0000              0.0150            149.0872
              0.0013              0.7500              0.0000              0.0150            185.0185
              0.0013              0.7750              0.0000              0.0150            231.0741
              0.0013              0.3000              0.0000              0.0200            117.3389
              0.0013              0.3250              0.0000              0.0200             96.2139
              0.0013              0.3500              0.0000              0.0200             82.3580
              0.0013              0.3750              0.0000              0.0200             74.3018
              0.0013              0.4000              0.0000              0.0200             70.5653
              0.0013              0.4250              0.0000              0.0200             69.7526
              0.0013              0.4500              0.0000              0.0200             70.6336
              0.0013              0.4750              0.0000              0.0200             72.2236
              0.0013              0.5000              0.0000              0.0200             73.8482
              0.0013              0.5250              0.0000              0.0200             75.1886
              0.0013              0.5500              0.0000              0.0200             76.3032
              0.0013              0.5750              0.0000              0.0200             77.6199
              0.0013              0.6000              0.0000              0.0200             79.9043
              0.0013              0.6250              0.0000              0.0200             84.2034
              0.0013              0.6500              0.0000              0.0200             91.7729
              0.0013              0.6750              0.0000              0.0200            103.9972
              0.0013              0.7000              0.0000              0.0200            122.3042
              0.0013              0.7250              0.0000              0.0200            148.0896
              0.0013              0.7500              0.0000              0.0200            182.6410
              0.0013              0.7750              0.0000              0.0200            227.0881
              0.0013              0.3000              0.0000              0.0250            120.7574
              0.0013              0.3250              0.0000              0.0250             99.3169
              0.0013              0.3500              0.0000              0.0250             85.2091
              0.0013              0.3750              0.0000              0.0250             76.9608
              0.0013              0.4000              0.0000              0.0250             73.0942
              0.0013              0.4250              0.0000              0.0250             72.2088
              0.0013              0.4500              0.0000              0.0250             73.0658
              0.0013              0.4750              0.0000              0.0250             74.6660
              0.0013              0.5000              0.0000              0.0250             76.3155
              0.0013              0.5250              0.0000              0.0250             77.6721
              0.0013              0.5500              0.0000              0.0250             78.7667
              0.0013              0.5750              0.0000              0.0250             79.9985
              0.0013              0.6000              0.0000              0.0250             82.1037
              0.0013              0.6250              0.0000              0.0250             86.1016
              0.0013              0.6500              0.0000              0.0250             93.2238
              0.0013              0.6750              0.0000              0.0250            104.8342
              0.0013              0.7000              0.0000              0.0250            122.3461
              0.0013              0.7250              0.0000              0.0250            147.1461
              0.0013              0.7500              0.0000              0.0250            180.5148
              0.0013              0.7750              0.0000              0.0250            223.5954
              0.0013              0.3000              0.0000              0.0300            124.1909
              0.0013              0.3250              0.0000              0.0300            102.4448
              0.0013              0.3500              0.0000              0.0300             88.0796
              0.0013              0.3750              0.0000              0.0300             79.6252
              0.0013              0.4000              0.0000              0.0300             75.6043
              0.0013              0.4250              0.0000              0.0300             74.6129
